Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct;Diff_hl;Diff_pct
ZH;30208;11396;38%;18812;62%;-1216;-3.9%
BE Thunersee;1284;636;49%;648;50%;-9;-0.7%
LU;2408;1195;50%;1213;50%;213;9.7%
UR+OW+NW;117;22;19%;95;81%;-28;-19.3%
SZ;1844;658;36%;1186;64%;356;23.9%
GL;57;19;34%;38;66%;-18;-24.0%
ZG;79;42;54%;37;47%;-18;-18.6%
SO;319;97;31%;222;70%;55;20.8%
BS;270;145;54%;125;46%;30;12.5%
BL;5626;1848;33%;3778;67%;516;10.1%
SH;30479;6880;23%;23599;77%;2749;9.9%
AR+AI;130;68;52%;62;48%;-18;-12.2%
SG;6499;1817;28%;4682;72%;-2037;-23.9%
GR(-Mesolcina);15052;3614;24%;11438;76%;-7088;-32.0%
AG;19510;6723;34%;13087;66%;3308;20.0%
TG;13333;4819;36%;8514;64%;-453;-3.3%
Deutschschweiz;127515;39979;31%;87536;69%;-2951;-2.3%
Mesolcina(GR);1531;70;5%;1461;95%;-105;-7.3%
TI2;59217;13060;22%;46157;78%;4002;7.2%
Svizzera italiana;60548;13130;22%;47418;78%;3897;6.9%
BE Lac de Bienne;8343;4579;55%;3764;45%;-4444;-34.8%
FR;6104;3823;59%;2607;41%;-1360;-17.5%
VD;211863;152539;43%;59324;26%;-73127;-25.7%
VS;327442;140505;43%;186937;57%;-49605;-13.2%
NE;18384;5817;42%;8017;58%;-16482;-54.4%
GE3;82336;37178;45%;45158;55%;-21329;-20.6%
JU;309;175;55%;134;45%;165;109.3%
Suisse romande;650566;344616;53%;305950;47%;-166182;-20.3%
SCHWEIZ SUISSE;838629;397725;47%;440904;53%;-165236;-16.5%
